文档类别,文档名称,用途 / 说明,优先级,建议负责人,状态,更新频率,备注,适用对象,阶段适用性,阶段说明,版本号 / Revision,最后更新日期,审核人 / Reviewer,批准人 / Approver,文档类型,保密级别 / Confidentiality,依赖文档 / Related Docs,创建阶段 / Creation Phase,是否必需 / Must-Have,使用频率 / Usage Frequency,改进建议 / Notes
项目管理 / 规划,Project Charter,产品目标、范围、里程碑,高,Product Manager,未开始,,,个人,MVP,MVP 阶段必备核心文档,,,,,规划,,,,,,
项目管理 / 规划,Work Breakdown Structure (WBS),任务拆分、进度计划,高,PM / Product Manager,未开始,,,混合,产品成熟 / 后续迭代,可在 MVP 后阶段完善,,,,,规划,,,,,,
项目管理 / 规划,PM Management Doc,项目管理流程、职责分工,高,Product Manager,未开始,,,团队,产品成熟 / 后续迭代,可在 MVP 后阶段完善,,,,,规划,,,,,,
项目管理 / 规划,Requirements Document,系统功能和需求说明,高,Product Manager / BA,未开始,,,个人,MVP,MVP 阶段必备核心文档,,,,,规划,,,,,,
项目管理 / 规划,Business Model,商业模式、盈利策略,高,Product Manager / CEO,未开始,,,混合,产品成熟 / 后续迭代,可在 MVP 后阶段完善,,,,,规划,,,,,,
项目管理 / 规划,Stakeholders Document,利益相关方列表及角色,中,Product Manager,未开始,,,混合,产品成熟 / 后续迭代,可在 MVP 后阶段完善,,,,,规划,,,,,,
项目管理 / 规划,Feature Roadmap,功能迭代计划,高,Product Manager,未开始,,,团队,产品成熟 / 后续迭代,可在 MVP 后阶段完善,,,,,规划,,,,,,
项目管理 / 规划,Change Management Plan,功能或架构变更流程,中,Product Manager / Dev Lead,未开始,,,团队,产品成熟 / 后续迭代,可在 MVP 后阶段完善,,,,,,,,,,,
项目管理 / 规划,Risk Management / Mitigation Plan,风险分析与缓解措施,中,PM / QA / Dev Lead,未开始,,,团队,产品成熟 / 后续迭代,可在 MVP 后阶段完善,,,,,,,,,,,
产品设计 / 功能,PRD (Product Requirements Doc),产品功能详细说明,高,Product Manager,未开始,,,个人,MVP,MVP 阶段必备核心文档,,,,,设计,,,,,,
产品设计 / 功能,FSD (Functional Spec Doc),功能实现细节,高,Product Manager / Dev Lead,未开始,,,团队,产品成熟 / 后续迭代,可在 MVP 后阶段完善,,,,,设计,,,,,,
产品设计 / 功能,TAD (Technical Architecture Doc),技术架构设计,高,Tech Lead / Dev Lead,未开始,,,团队,产品成熟 / 后续迭代,可在 MVP 后阶段完善,,,,,设计,,,,,,
产品设计 / 功能,UI Mockups / Mockups Docs,页面设计和布局,高,UX/UI Designer,未开始,,,混合,产品成熟 / 后续迭代,可在 MVP 后阶段完善,,,,,设计,,,,,,
产品设计 / 功能,UI Style Guide,颜色、字体、组件规范,中,UX/UI Designer,未开始,,,混合,产品成熟 / 后续迭代,可在 MVP 后阶段完善,,,,,设计,,,,,,
